,AdmArea,District,lat,lon,Address,Mark
249,Восточный административный округ,район Восточное Измайлово,55.8025860621338,37.829533922486,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Измайлово, Сиреневый бульвар, дом 64/31",0.5168566343593617
250,Западный административный округ,район Фили-Давыдково,55.7410925175843,37.4745742790401,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Большая Филёвская улица, дом 43",9.92433446620235
251,Восточный административный округ,район Восточное Измайлово,55.794731746848,37.812070348998,"город Москва, Средняя Первомайская улица, дом 38/7",1.1334640545538899
252,Восточный административный округ,район Сокольники,55.7974415995421,37.6878233905882,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2/23, корпус 4",1.0209044929259903
253,Восточный административный округ,район Новокосино,55.7454830746392,37.8732363693416,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, Новокосинская улица, дом 38, корпус 2",2.257098583463061
254,Восточный административный округ,район Сокольники,55.7863431685775,37.6876678224653,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Шумкина, дом 17/16",5.27922735203248
255,Центральный административный округ,Басманный район,55.7680540201986,37.6762308832258,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Госпитальный Вал, дом 5, строение 2",5.055194760881544
256,Новомосковский административный округ,поселение Десеновское,55.522512,37.371777,"город Москва, поселение Десеновское, деревня Десна, Административная улица, дом 9А",2.339977502820382
257,Северо-Восточный административный округ,Бутырский район,55.8286178936594,37.5781907793134,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Яблочкова, дом 43",9.073906373499034
258,Западный административный округ,Можайский район,55.70949,37.396619,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 53, корпус 2",7.16439058455234
259,Северо-Восточный административный округ,район Отрадное,55.873885468089,37.60633186898,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, Алтуфьевское шоссе, дом 34А",0.17223867678634375
260,Северо-Восточный административный округ,Бабушкинский район,55.8615656242572,37.6760510914028,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Коминтерна, дом 6",1.19355549719944
261,Северо-Восточный административный округ,район Северное Медведково,55.888209164742,37.6607223507017,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Медведково, Широкая улица, дом 11",4.654697822563316
262,Южный административный округ,район Орехово-Борисово Южное,55.6011290654841,37.7148373005912,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Домодедовская улица, дом 44",9.307904697696287
263,Центральный административный округ,район Замоскворечье,55.7261513792369,37.6365647376258,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Дубининская улица, дом 20, строение 1",8.571079258709156
264,Центральный административный округ,район Замоскворечье,55.736497,37.634017,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Бахрушина, дом 4, строение 1",9.89637969823735
265,Западный административный округ,район Солнцево,55.651248514282,37.396457340067,"город Москва, улица Богданова, дом 44",7.927338757604085
266,Центральный административный округ,Басманный район,55.771766,37.672061,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Спартаковская улица, дом 9, строение 1",3.1767350751390246
267,Западный административный округ,район Крылатское,55.7649546949377,37.4105366226286,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, улица Крылатские Холмы, дом 32, корпус 1",3.2590636111410487
268,Центральный административный округ,район Арбат,55.749545042058,37.592391887576,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 33",5.937264020161866
269,Зеленоградский административный округ,район Крюково,55.974347080974,37.1626321552321,"город Москва, город Зеленоград, корпус 2008",8.111664073051259
